"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2003","24.19","24.94","25.54","23.88","15.66M","-1.79%"
"Sep 02, 2003","24.63","23.57","24.90","23.44","25.46M","4.76%"
"Sep 01, 2003","23.51","23.24","23.75","22.95","14.47M","2.44%"
"Aug 29, 2003","22.95","23.81","24.42","22.33","20.15M","-1.25%"
"Aug 28, 2003","23.24","21.83","23.55","21.77","24.02M","8.09%"
"Aug 27, 2003","21.50","21.09","21.68","20.84","9.05M","4.27%"
"Aug 26, 2003","20.62","20.33","20.84","19.98","9.09M","2.49%"
"Aug 25, 2003","20.12","21.21","21.52","19.51","6.65M","-4.60%"
"Aug 22, 2003","21.09","21.71","21.88","20.78","6.60M","-2.32%"
"Aug 21, 2003","21.59","21.66","22.05","21.47","7.34M","1.22%"
"Aug 20, 2003","21.33","20.84","21.71","20.70","11.74M","4.20%"
"Aug 19, 2003","20.47","20.76","21.07","20.42","4.37M","0.24%"
"Aug 18, 2003","20.42","20.47","20.84","20.09","4.34M","0.15%"
"Aug 14, 2003","20.39","20.94","21.02","20.23","5.59M","-2.49%"
"Aug 13, 2003","20.91","21.09","21.66","20.50","9.08M","-0.38%"
"Aug 12, 2003","20.99","21.71","21.71","20.80","5.83M","-2.60%"
